traffico clandestino;illicit trade;salakauppa
asse;board,plank;lauta
codice a barre;bar code;viivakoodi
morra cinese;chinese morra;kivi,sakset ja paperi
ippopotamo;hyppopotamus;virtahepo
zerbino;doormat;ovimatto
tappezzeria;wallpaper,tapestry
tapetti
crepa;crack (in a wall);särö
collant;tights;sukkahousut
polo;pole;napa
segnalibro;bookmark;kirjanmerkki
tergicristallo;windscreen wiper;tuulilasinpyyhkijä
vassoio;tray;tarjotin
coperta elettrica;electric blanket
lämpöpeitto
cuore spezzato;broken heart;särkynyt sydän
zanna;tusk,fang;torahammas
copia;copy;kopio
seppia;cuttlefish;mustekala
pentola;saucepan,pot;kattila
distintivo;badge,emblem;rintamerkki;orologio;clock,watch;kello
gomme da masticare;chewing gums;purukumit
camion;truck;kuorma-auto
toppe;patches (textile);paikka (vaatteen)
banca;bank;pankki
abito;suit,dress;vaate
palestra;gym (place);liikuntakeskus
dente di leone;dandelion;voikukka
graffetta;paper clip;paperiliitin
chiosko;kiosk;kioski
portamonete;wallet;lompakko
computer;computer;tietokone
carriola;(wheel)barrow;kottikärryt
videogioco;videogame;videopeli
scala;ladder,stairs;portaat
maiale;pig;sika
menu;menu;menu
fondo;bottom;pohja
iPOD;iPOD;iPOD
pentagono;penthagon;viisikulmio
caraffa;carafe;karahvi
prolunga;(cable) extension;pidennys
capocchia di spillo;pinhead;nuppineulan nuppi
natiche;buttocks;pakarat
pois;(polka) dot;täplä
cabina telefonica;phone booth;puhelinkoppi
carta moschicida;flypaper;kärpäspaperi
quadrifoglio;four-leaf clover;neliapila
scooter;scooter;skootteri
macchina fotografica;camera;kamera
diga;dam;pato
spugna;sponge;pesusieni
gravidanza;pregnancy;raskaus
jet;jet;suihkulentokone
calzoni alla zuava;knickerbockers;leveät polvihousut;
corona di alloro;laurel wreath;laakeriseppeli
vortice;whirl,vortex;pyörie
grondaia;roof gutter;vesikouru
medicina;medicine;lääke,lääketiede
eretto;erect,uphold;suora,pysty
caverna;cavern;luola
bicchierino;small glass,liquer glass;lasillinen
solitario;solitary or solitair;yksinäinen tai pasianssi
scassinatore;housebreaker,burglar;murtovaras
costole;ribs;kylkiluut
dente;tooth;hammas
vela;sail;purje
soldato;soldier;sotilas
amaca;hammock;riippumatto
cartella;folder;kansio
colosseo;colosseum;kolosseum
donna;woman;nainen
rubinetto;tap,cock;hana
castoro;beaver;majava
cubo di rubik;rubik's cube;rubikin kuutio
racchetta;(tennis) racket;sauva
manette;handcuffs;käsiraudat
strabico;squinter,cross-eyed person;kierosilmäinen
caffé;coffee;kahvi
trampoli;stilts;puujalat
rompighiaccio;ice breaker;jäänmurtaja
letto di rose;rose bed;ruususänky
melanzana;aubergine,eggplant;munakoiso
paletta;small shovel;lapio
pastiglia;tablet,pastille,pill;pastilli
fornello;stove,cooker;liesi
cattedrale;cathedral;katedraali
misurino;(small) measure;mittakuppi
martello;hammer;vasara
lucchetto;lock;lukko
cimitero;graveyard;hautausmaa
bagno caldo;hot bath;kuuma kylpy
staccionata;wooden fence;aita
collana;necklace;kaulakoru
carovana;caravan,group;karavaani
sperone;spur;kannu
rasato;shaven;jolla on ajeltu parta
classe;class;luokka
libro;book;kirja
barella;stretcher;paarit
crostino;crouton;paahtoleipä
tavolozza;palette;paletti
confine;frontier;raja
scatola di sigari;cigar box;siikarilaatikko
saturno;saturn;saturnus
microfono;microphone;mikrofooni
aratro;plough;aura
pista;(race)track;rata
cerniera;zipper;vetoketju
molo;mole,wharf;aallonmurtaja
cubicolo;cubicle;hantakammio
pellicano;pelican;pelikaani
metro a nastro;tape measure;mittanauha
sacco da box;boxing sack;nyrkeilysakki
ariete;ram,tup
oinas
persiane;shutter;sälekaihtimet
tovagliolo;napkin;lautasliina
cuneo;wedge;kiila
spazzolino da denti;toothbrush;hammasharja
rampa;ramp,flight;koroke
berretto da asino;asshat;aasin hattu
pavimento;floor;lattia
kiwi;kiwi;kiivi
ferro da marchio;branding iron;poltinrauta
fregio;freize,ornament;koriste
pezzo grosso;bigwig,big shot
pamppu
bicicletta;bicycle;polkupyörä
crosta;crust;muori
televisione;television;televisio
camicetta;blouse;paita
eclissi;eclipse;pimennys
lanterna;lantern;lythy
crusca;bran;lese
fabbrica;factory;tehdas
cuffietta;(swimming) cap;uimalakki
bandana;bandana;hiuspanta
air bag;air bag;turvatyyny
sci d'acqua;water skiing;vesihiihto
tendine;tendon;jänne
fungo;mushroom;sieni
torta;cake;kakku
fosso;ditch;oja
treppiedi;tripod;kolmijalka
binocolo;binoculars;kiikarit
equilibrio;balance (phys.);tasapaino
pallamano;fieldball;käsipallo
mummia;mummy;muumio
borraccia;water-bottle,flask;kenttäpullo
impronta;footprint;jälki
calvo;bald;kaljupää
mattoni;bricks;tiilit
sacchetto di carta;paperbag;paperipussi
tenaglie;pincers;pihdit
burro;butter;voi
stonehenge;stonehenge;stonehenge
vanga;spade (tool);lapio
fuochi d'artificio;fireworks;ilotulitukset
erba;grass;yrtti
pulce;flee;kirppu
negozio;shop;kauppa
cartello stop;stop signal;stop-merkki
lavagna;blackboard;liitutaulu
pecora;sheep;lammas
coca-cola;coca-cola;coca-cola
fossato;moat;kaivanto,vallihauta
zebra;zebra;seepra
sottomarino;submarine;sukelluslaiva
orbita;orbit;kiertorata
palma;palm tree;palmu
patibolo;gallows,scaffold;mestauslava
arco;bow or arch;kaari tai jousi (ase)
frigorifero;fridge;jääkaappi
timer;timer;timer
libreria;bookstore;kirjakauppa
nido;nest;pesä
cavalletto;trestle;maalausteline
film;movie;elokuva
flauto;flute;huilu
chitarra;guitar;kitara
clessidra;hourglass;tiimalasi
gelato;icecream;jäätelö
occhio;eye;silmä
bancone;counter (e.g. in a bar);myyntipöytä
calore;heat;kuumuus
famiglia;family;perhe
carrozza;coach (vehicle);vaunut
corrimano;handrail;kaide
gessato;chalkstripe;liituraitapuku
casa;house,home;talo,koti
videocassetta;videocassette;videonauha
agopuntura;acupuncture;akupunktio
scala a pioli;ladder;tikapuut
bacheca;notice board or showcase;ilmoitustaulu tai lasikaappi
gag;gag;gag
fisarmonica;accordion;harmonikka
cespuglio;bush;pensas
spina dorsale;backbone;selkäranka
grafico;graph;kuvio
batteria;battery or drums;patteri tai rummut
accendino;lighter (tool); sytytin
cinque sterline;five pounds;viisi puntaa
scimmia;monkey;apina
toast;toast (bread);paahtoleipä
