forfora;dandruff;hilse
specchio;mirror;peili
bunker;bunker;bunker
puzzle;jigsaw puzzle;puzzle
velo;veil;harso
bombetta;bowler hat;knalli
risata;laughter;nauru
matrimonio;wedding;häät
farmacista;pharmacist;farmaseutti
pasqua;easter;pääsiäinen
camino;chimney;takka
cuore d'oro;heart of gold;kultainen sydän
esplosione;explosion;räjähdys
scarpe da ginnastica;trainers;gym-kengät
letto matrimoniale;double bed;parivuode
dormitorio;dormitory;nukkumispaikka
parchimetro;parking meter;pysäkkimittari
bigodini;curlers;papiljotit
gufo;owl;pöllö
elicottero;helicopter;helikopteri
meeting;meeting;tapaaminen
guantone;boxing glove;nyrkeilyhansikas
volano;shuttlecock;sulkapallo (pallo)
cicogna;stork;haikara
paradiso;heaven;paratiisi
termometro;thermometer;lämpömittari
incidente;accident;onnettomus
fuoco d'artificio;firework;ilotulitus
scarico;dumping,tipping;poistoputki,viemäri
grembiule;apron;esiliina
competizione;competition;kilpailu
francese;french (language or adjective);ranska (kieli), ranskalainen
ascensore;lift;hissi
cocktail;cocktail;cocktail
pittura ad olio;oil paint;öljymaali
strada;street;katu
saltello;hop;hyppy
regalo di natale;christmas present;joululahja
popcorn;popcorn;popcorn
schizzo;splash;tahra
zoo;zoo;zoo
tonaca;frock;munkinkaapu
crema solare;sun lotion;aurinkorasva
teatro;theatre;teatteri
aereoporto;airport;lentokenttä
puzzola;polecat;hilleri
fast food;fast food;fast food
orecchini;earrings;korvakorut
vigneto;vineyard;viiniviljelmä
clima;climate;ilmasto
bruciatura;burn,scald;palohaava
collisione;collision;törmäys
gladiatore;gladiator;gladiaattori
polmone;lung;keuhko
fucile;shotgun;haulikko
duomo;cathedral;pääkirkko
salvataggio;rescue;pelastaminen
domestico;servant;kotiapulainen
sherlock holmes;sherlock holmes;sherlock holmes
scoiattolo;squirrel;orava
puffo;smurf;smurffi
manicure;manicure;manikyyri
cavernicolo;cave-dweller;luola-asukas
forbici;scissors;sakset
nuvola;cloud;pilvi
pappagallo;parrot;papukaija
avvocato;lawyer;asianajaja
aringa;herring;silli
penna;pen (for writing);kynä
raggi x;x-rays;röntgen
ladro;thief;varas
impugnatura;handle;kahva
sale;salt;suola
lenti a contatto;contact lenses;piilolinssit
nastro;ribbon;nauha
