simbolo del dollaro;dollar symbol;dollarin merkki
tombola;tombola,bingo;bingo
trifoglio;clover;apila
parentesi;parenthesis,bracket;sulkumerkki
grattarsi;to scratch oneself;raapia itseään
ketchup;ketchup;ketsuppi
limone;lemon;citruuna
bersaglio;target;maalikohde
camera d'aria;inner tube;sisärengas
asterisco;asterisk;asteriski
clacson;klaxon,horn (car);auton torvi
perline;pearls;helmit
cacciavite;screw driver;ruuvimeisseli
calzoncini;shorts (clothes);shortsit
diadema;diadem;otsavanne
dito;finger;sormi
dadi;dices;nopat
borsetta;handbag;käsilaukku
primavera;spring (season);kevät
biglie;billiard ball, marble;
pollice;thumb;peukalo
cetriolo;cucumber;kurkku (vihannes)
sapone;soap;saippua
noce di cocco;coconut;kookopähkinä
forca;gallows;hirsipuu
regno unito;united kingdom;yhdistynyt kuningaskunta
falcetto;sickle;sirppi
smorfia;grimace;irvistys
torcia;torch;taskulampu
virgola;comma;pilkku
spiedo;skewer;paistinvarras
telefono cellulare;mobile phone;matkapuhelin
mano;hand;käsi
pomodoro;tomato;tomaatti
muro;wall;muuri
lepre;hare;jänis
manubrio;handlebar;ohjaustanko
tromba;trumpet;trumpetti
anello;ring;sormus
matita;pencil;lyijykynä
basco;basque or beret;baski tai baskeri
ciambella;doughnut;rinkeli
barba;beard;parta
volante;steering wheel;ratti, ohjauspyörä
pupilla; pupil (eye);silmäterä
brocca;jug;kannu
fiore;flower;kukka
maniglia;handle;kahva
radioattivo;radioactive;radioaktiivinen
periodo;period;periodi
righello;ruler,scale;viivoitin
gomma;gum,rubber or eraser;kumi tai pyyhekumi
patata;potato;peruna
terra;land, earth or the Earth;maa tai maapallo
testa;head;pää
foglia d'acero;maple leaf;vaahteran lehti
spalline;shoulder pad;olkaimet
cuore;heart;sydän
becco;beak;nokka
stuzzicadente;toothpick;hammastikku
olive;olives;oliivit
pennello;paint brush;pensseli
arcobaleno;rainbow;sateenkaari
pesce;fish;kala
crocifisso;crucifix;krusifiksi
raggio;ray or radius;säde
proiettile;projectile,bullet;ammus,luoti
arancia;orange (fruit);appelsiini
disco;disk;levy
pastiglia;pill;pilleri
cupola;dome,cupola;kupoli
pianeta;planet;planeetta
puma;puma;puuma
più;plus or more;plus tai enemmän
scala;stairs;portaat
gamba;leg;jalka,sääri
giostra;merry-go-round;karuselli
treno;train;juna
lago;lake;järvi
strofinaccio;duster,cloth;rätti
tappetino per il mouse;mousepad;hiirimatto
anfora;amphora;amfora
elefante;elephant;norsu
pallone da calcio; football (the ball itself);jalkapallo (esine)
calza;sock (clothe);sukka
chiave di violino;treble clef;nuottiavain
anelli olimpici;olympic rings;olympiarenkaat
ruota;wheel,tyre;pyörä
naso;nose;pyörä
filo;thread (textile);lanka
stringa;lace;nauha
elica;helix,screw,rotor;potkuri
vichingo;viking;viikingi
palla da rugby;rugby ball;rugbypallo
osso;bone;luu
canna da pesca;fishing rod;onkivapa
ghiaccio;ice;jää
porta;door;ovi
carta igienica;toilet paper;vessapaperi
legame;bond,tie;side tai yhteys
frisbee;frisbee;frisbee
gocce per gli occhi;eyedrops;silmätipat
palloncino;balloon;ilmapallo
manganello;truncheon;poliisin pamppu
percentuale;percentage;prosentti
oblò;porthole;hytti-ikkuna
schiuma da barba;shaving cream;partovaahto
lampone;raspberry;vadelma
mantello;cape;viitta
divieto d'accesso;no entry/keep out sign;"pääsy kielletty"
dvd;dvd;dvd
pasticcino;pastry,tartlet;pieni leivos
cucchiaio;spoon:lusikka
non approvato;rejected;ei hyväksytty, hylätty
caramella;candy;karkki
centipede;millepede;tuhatjalkainen
masso;boulder;kivenlohkare
artiglio;claw;raatelukynsi
cuscino;pillow;tyyny
serpente;snake;käärme
violino;violin;viulu
rapa;turnip;nauris
dirigibile;dirigible,airship;ilmalaiva
reggiseno;bra;rintaliivit
gradini;step,rung;porrasaskelet
prugna;plum;lumu
impronta digitale;finger print;sormenjaljet
trampoli;stilts;puujalat
rettangolo;rectangle;suorakulmio
zucca;pumpkin;kurpitsa
zolletta di zucchero;lump of sugar;sokeripala
rompighiaccio;icebreaker;jäänmurtaja
lucchetto;padlock;lukko
bandiera;flag;maan lippu
triste;sad;surullinen;scodella;(soup) bowl;keittolautanen
cipolla;onion;sipuli
miele;honey;hunaja
diario;diary;päiväkirja
lingua;tongue or language;kieli
cuffie;earphones;kuulokkeet
tronco d'albero;trunk of a tree;puunkrunko
pilone;pillar;pylväs
presina;pot holder;pannulappu
braccialetto;bracelet;rannerengas
amo;fish hook;ongenkoukku
cometa;comet;komeetta
sorpasso;overtaking (cars);ohitus
paralume;lampshade;lampunvarjostin
tappo;cork,stopper;korkki
teschio;skull;pääkallo
forcella;bicycle fork;pyöränhaarukka
ricamo;embroidery;koruompelu
zampa di coniglio;rabbit's leg;kanin jalka
ago;needle;neula
tunnel;tunnel;tunneli
mazza da baseball;baseball bat;pesäpallonuija
uccello;bird;lintu
bottiglia;bottle;pullo
forchetta; fork (for food);haarukka
wurstel;wurstel;wurstel
mestolo;ladle;kauha
sigaro;cigar;sikaari
aureola;aureola;pyhitiyskehä
zattera;raft;lautta
clava;club,bludgeon
foglia;leaf;puun lehti
coniglietto;bunny;pupu
san valentino;valentine's day;ystävien päivä
carta;paper;paperi
ascia;axe;kirves
mela;apple;omena
calice;goblet,chalice;malja
barca;boat;vene
sedile;seat;istuin
mostro;monster;hirviö
campana;bell;kello (esim. kirkon)
labbra;lips;huulet
pera;pear;päärynä
incrocio;crossroads;risteys
martello;hammer;vasara
bottone;button;nappi
segno della pace;peace sign;rauhan merkki
candelabro;branched candlestick, candelabrum;kyntelikkö
dentiera;denture;tekohampaat
